id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
330521,3305,2,"德清","deq","de qing","330521000000","德清县"
330522,3305,2,"长兴","chx","chang xing","330522000000","长兴县"
330523,3305,2,"安吉","anj","an ji","330523000000","安吉县"
3306,33,1,"绍兴","shx","shao xing","330600000000","绍兴市"
330602,3306,2,"越城","yuc","yue cheng","330602000000","越城区"
330603,3306,2,"柯桥","keq","ke qiao","330603000000","柯桥区"
330604,3306,2,"上虞","shy","shang yu","330604000000","上虞区"
330624,3306,2,"新昌","xic","xin chang","330624000000","新昌县"
330681,3306,2,"诸暨","zhj","zhu ji","330681000000","诸暨市"
330683,3306,2,"嵊州","shz","sheng zhou","330683000000","嵊州市"
3307,33,1,"金华","jih","jin hua","330700000000","金华市"
330702,3307,2,"婺城","wuc","wu cheng","330702000000","婺城区"
330703,3307,2,"金东","jid","jin dong","330703000000","金东区"
330723,3307,2,"武义","wuy","wu yi","330723000000","武义县"
330726,3307,2,"浦江","puj","pu jiang","330726000000","浦江县"
330727,3307,2,"磐安","paa","pan an","330727000000","磐安县"
330781,3307,2,"兰溪","lax","lan xi","330781000000","兰溪市"
330782,3307,2,"义乌","yiw","yi wu","330782000000","义乌市"
330783,3307,2,"东阳","doy","dong yang","330783000000","东阳市"
330784,3307,2,"永康","yok","yong kang","330784000000","永康市"
3308,33,1,"衢州","quz","qu zhou","330800000000","衢州市"
330802,3308,2,"柯城","kec","ke cheng","330802000000","柯城区"
330803,3308,2,"衢江","quj","qu jiang","330803000000","衢江区"
330822,3308,2,"常山","chs","chang shan","330822000000","常山县"
330824,3308,2,"开化","kah","kai hua","330824000000","开化县"
330825,3308,2,"龙游","loy","long you","330825000000","龙游县"
330881,3308,2,"江山","jis","jiang shan","330881000000","江山市"
3309,33,1,"舟山","zhs","zhou shan","330900000000","舟山市"
330902,3309,2,"定海","dih","ding hai","330902000000","定海区"
330903,3309,2,"普陀","put","pu tuo","330903000000","普陀区"
330921,3309,2,"岱山","das","dai shan","330921000000","岱山县"
330922,3309,2,"嵊泗","shs","sheng si","330922000000","嵊泗县"
3310,33,1,"台州","taz","tai zhou","331000000000","台州市"
331002,3310,2,"椒江","jij","jiao jiang","331002000000","椒江区"
331003,3310,2,"黄岩","huy","huang yan","331003000000","黄岩区"
331004,3310,2,"路桥","luq","lu qiao","331004000000","路桥区"
331022,3310,2,"三门","sam","san men","331022000000","三门县"
331023,3310,2,"天台","tit","tian tai","331023000000","天台县"
331024,3310,2,"仙居","xij","xian ju","331024000000","仙居县"
331081,3310,2,"温岭","wel","wen ling","331081000000","温岭市"
331082,3310,2,"临海","lih","lin hai","331082000000","临海市"
331083,3310,2,"玉环","yuh","yu huan","331083000000","玉环市"
3311,33,1,"丽水","lis","li shui","331100000000","丽水市"
331102,3311,2,"莲都","lid","lian du","331102000000","莲都区"
331121,3311,2,"青田","qit","qing tian","331121000000","青田县"
331122,3311,2,"缙云","jiy","jin yun","331122000000","缙云县"
331123,3311,2,"遂昌","suc","sui chang","331123000000","遂昌县"
331124,3311,2,"松阳","soy","song yang","331124000000","松阳县"
331125,3311,2,"云和","yuh","yun he","331125000000","云和县"
331126,3311,2,"庆元","qiy","qing yuan","331126000000","庆元县"
331127,3311,2,"景宁畲族自治县","jins","jing ning she zu zi zhi xian","331127000000","景宁畲族自治县"
331181,3311,2,"龙泉","loq","long quan","331181000000","龙泉市"
34,0,0,"安徽","anh","an hui","34","安徽省"
3401,34,1,"合肥","hef","he fei","340100000000","合肥市"
340102,3401,2,"瑶海","yah","yao hai","340102000000","瑶海区"
340103,3401,2,"庐阳","luy","lu yang","340103000000","庐阳区"
340104,3401,2,"蜀山","shs","shu shan","340104000000","蜀山区"
340111,3401,2,"包河","bah","bao he","340111000000","包河区"
340121,3401,2,"长丰","chf","chang feng","340121000000","长丰县"
340122,3401,2,"肥东","fed","fei dong","340122000000","肥东县"
340123,3401,2,"肥西","fex","fei xi","340123000000","肥西县"
340124,3401,2,"庐江","luj","lu jiang","340124000000","庐江县"
340171,3401,2,"合肥高新技术产业开发区","hefg","he fei gao xin ji shu chan ye kai fa qu","340171000000","合肥高新技术产业开发区"
340172,3401,2,"合肥经济技术开发区","hefj","he fei jing ji ji shu kai fa qu","340172000000","合肥经济技术开发区"
340173,3401,2,"合肥新站高新技术产业开发区","hefx","he fei xin zhan gao xin ji shu chan ye kai fa qu","340173000000","合肥新站高新技术产业开发区"
340181,3401,2,"巢湖","chh","chao hu","340181000000","巢湖市"
3402,34,1,"芜湖","wuh","wu hu","340200000000","芜湖市"
340202,3402,2,"镜湖","jih","jing hu","340202000000","镜湖区"
340203,3402,2,"弋江","yij","yi jiang","340203000000","弋江区"
340207,3402,2,"鸠江","jij","jiu jiang","340207000000","鸠江区"
340208,3402,2,"三山","sas","san shan","340208000000","三山区"
340221,3402,2,"芜湖","wuh","wu hu","340221000000","芜湖县"
340222,3402,2,"繁昌","fac","fan chang","340222000000","繁昌县"
340223,3402,2,"南陵","nal","nan ling","340223000000","南陵县"
340225,3402,2,"无为","wuw","wu wei","340225000000","无为县"
340271,3402,2,"芜湖经济技术开发区","wuhj","wu hu jing ji ji shu kai fa qu","340271000000","芜湖经济技术开发区"
340272,3402,2,"安徽芜湖长江大桥经济开发区","anhw","an hui wu hu chang jiang da qiao jing ji kai fa qu","340272000000","安徽芜湖长江大桥经济开发区"
3403,34,1,"蚌埠","beb","beng bu","340300000000","蚌埠市"
340302,3403,2,"龙子湖","lozh","long zi hu","340302000000","龙子湖区"
340303,3403,2,"蚌山","bes","beng shan","340303000000","蚌山区"
340304,3403,2,"禹会","yuh","yu hui","340304000000","禹会区"
340311,3403,2,"淮上","hus","huai shang","340311000000","淮上区"
340321,3403,2,"怀远","huy","huai yuan","340321000000","怀远县"
340322,3403,2,"五河","wuh","wu he","340322000000","五河县"
340323,3403,2,"固镇","guz","gu zhen","340323000000","固镇县"
340371,3403,2,"蚌埠市高新技术开发区","bebs","beng bu shi gao xin ji shu kai fa qu","340371000000","蚌埠市高新技术开发区"
340372,3403,2,"蚌埠市经济开发区","bebs","beng bu shi jing ji kai fa qu","340372000000","蚌埠市经济开发区"
3404,34,1,"淮南","hun","huai nan","340400000000","淮南市"
340402,3404,2,"大通","dat","da tong","340402000000","大通区"
340403,3404,2,"田家庵","tija","tian jia an","340403000000","田家庵区"
340404,3404,2,"谢家集","xijj","xie jia ji","340404000000","谢家集区"
340405,3404,2,"八公山","bags","ba gong shan","340405000000","八公山区"
340406,3404,2,"潘集","paj","pan ji","340406000000","潘集区"
340421,3404,2,"凤台","fet","feng tai","340421000000","凤台县"
340422,3404,2,"寿县","shx","shou xian","340422000000","寿县"
3405,34,1,"马鞍山","maas","ma an shan","340500000000","马鞍山市"
340503,3405,2,"花山","hus","hua shan","340503000000","花山区"
340504,3405,2,"雨山","yus","yu shan","340504000000","雨山区"
340506,3405,2,"博望","bow","bo wang","340506000000","博望区"
340521,3405,2,"当涂","dat","dang tu","340521000000","当涂县"
340522,3405,2,"含山","has","han shan","340522000000","含山县"
340523,3405,2,"和县","hex","he xian","340523000000","和县"
3406,34,1,"淮北","hub","huai bei","340600000000","淮北市"
340602,3406,2,"杜集","duj","du ji","340602000000","杜集区"
340603,3406,2,"相山","xis","xiang shan","340603000000","相山区"
340604,3406,2,"烈山","lis","lie shan","340604000000","烈山区"
340621,3406,2,"濉溪","sux","sui xi","340621000000","濉溪县"
3407,34,1,"铜陵","tol","tong ling","340700000000","铜陵市"
340705,3407,2,"铜官","tog","tong guan","340705000000","铜官区"
340706,3407,2,"义安","yia","yi an","340706000000","义安区"
340711,3407,2,"郊区","jiq","jiao qu","340711000000","郊区"
340722,3407,2,"枞阳","zoy","zong yang","340722000000","枞阳县"
3408,34,1,"安庆","anq","an qing","340800000000","安庆市"
340802,3408,2,"迎江","yij","ying jiang","340802000000","迎江区"
340803,3408,2,"大观","dag","da guan","340803000000","大观区"
340811,3408,2,"宜秀","yix","yi xiu","340811000000","宜秀区"
340822,3408,2,"怀宁","hun","huai ning","340822000000","怀宁县"
340824,3408,2,"潜山","qis","qian shan","340824000000","潜山县"
340825,3408,2,"太湖","tah","tai hu","340825000000","太湖县"
340826,3408,2,"宿松","sus","su song","340826000000","宿松县"
340827,3408,2,"望江","waj","wang jiang","340827000000","望江县"
340828,3408,2,"岳西","yux","yue xi","340828000000","岳西县"
340871,3408,2,"安徽安庆经济开发区","anha","an hui an qing jing ji kai fa qu","340871000000","安徽安庆经济开发区"
340881,3408,2,"桐城","toc","tong cheng","340881000000","桐城市"
3410,34,1,"黄山","hus","huang shan","341000000000","黄山市"
341002,3410,2,"屯溪","tux","tun xi","341002000000","屯溪区"
341003,3410,2,"黄山","hus","huang shan","341003000000","黄山区"
341004,3410,2,"徽州","huz","hui zhou","341004000000","徽州区"
341021,3410,2,"歙县","shx","she xian","341021000000","歙县"
341022,3410,2,"休宁","xin","xiu ning","341022000000","休宁县"
341023,3410,2,"黟县","yix","yi xian","341023000000","黟县"
341024,3410,2,"祁门","qim","qi men","341024000000","祁门县"
3411,34,1,"滁州","chz","chu zhou","341100000000","滁州市"
341102,3411,2,"琅琊","lay","lang ya","341102000000","琅琊区"
341103,3411,2,"南谯","naq","nan qiao","341103000000","南谯区"
341122,3411,2,"来安","laa","lai an","341122000000","来安县"
341124,3411,2,"全椒","quj","quan jiao","341124000000","全椒县"
341125,3411,2,"定远","diy","ding yuan","341125000000","定远县"
341126,3411,2,"凤阳","fey","feng yang","341126000000","凤阳县"
341171,3411,2,"苏滁现代产业园","sucx","su chu xian dai chan ye yuan","341171000000","苏滁现代产业园"
341172,3411,2,"滁州经济技术开发区","chzj","chu zhou jing ji ji shu kai fa qu","341172000000","滁州经济技术开发区"
341181,3411,2,"天长","tic","tian chang","341181000000","天长市"
341182,3411,2,"明光","mig","ming guang","341182000000","明光市"
3412,34,1,"阜阳","fuy","fu yang","341200000000","阜阳市"
341202,3412,2,"颍州","yiz","ying zhou","341202000000","颍州区"
341203,3412,2,"颍东","yid","ying dong","341203000000","颍东区"
341204,3412,2,"颍泉","yiq","ying quan","341204000000","颍泉区"
341221,3412,2,"临泉","liq","lin quan","341221000000","临泉县"
341222,3412,2,"太和","tah","tai he","341222000000","太和县"
341225,3412,2,"阜南","fun","fu nan","341225000000","阜南县"
341226,3412,2,"颍上","yis","ying shang","341226000000","颍上县"
341271,3412,2,"阜阳合肥现代产业园","fuyh","fu yang he fei xian dai chan ye yuan","341271000000","阜阳合肥现代产业园区"
341272,3412,2,"阜阳经济技术开发区","fuyj","fu yang jing ji ji shu kai fa qu","341272000000","阜阳经济技术开发区"
341282,3412,2,"界首","jis","jie shou","341282000000","界首市"
3413,34,1,"宿州","suz","su zhou","341300000000","宿州市"
341302,3413,2,"埇桥","yoq","yong qiao","341302000000","埇桥区"
341321,3413,2,"砀山","das","dang shan","341321000000","砀山县"
341322,3413,2,"萧县","xix","xiao xian","341322000000","萧县"
341323,3413,2,"灵璧","lib","ling bi","341323000000","灵璧县"
341324,3413,2,"泗县","six","si xian","341324000000","泗县"
341371,3413,2,"宿州马鞍山现代产业园","suzm","su zhou ma an shan xian dai chan ye yuan","341371000000","宿州马鞍山现代产业园区"
341372,3413,2,"宿州经济技术开发区","suzj","su zhou jing ji ji shu kai fa qu","341372000000","宿州经济技术开发区"
3415,34,1,"六安","lua","lu an","341500000000","六安市"
341502,3415,2,"金安","jia","jin an","341502000000","金安区"
341503,3415,2,"裕安","yua","yu an","341503000000","裕安区"
341504,3415,2,"叶集","yej","ye ji","341504000000","叶集区"
341522,3415,2,"霍邱","huq","huo qiu","341522000000","霍邱县"
341523,3415,2,"舒城","shc","shu cheng","341523000000","舒城县"
341524,3415,2,"金寨","jiz","jin zhai","341524000000","金寨县"
