id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
11,0,0,"北京","bej","bei jing","11","北京市"
1101,11,1,"北京","bej","bei jing","110100000000","市辖区"
110101,1101,2,"东城","doc","dong cheng","110101000000","东城区"
110101001,110101,3,"东华门","dohm","dong hua men","110101001000","东华门街道办事处"
110101002,110101,3,"景山","jis","jing shan","110101002000","景山街道办事处"
110101003,110101,3,"交道口","jidk","jiao dao kou","110101003000","交道口街道办事处"
110101004,110101,3,"安定门","andm","an ding men","110101004000","安定门街道办事处"
110101005,110101,3,"北新桥","bexq","bei xin qiao","110101005000","北新桥街道办事处"
110101006,110101,3,"东四","dos","dong si","110101006000","东四街道办事处"
110101007,110101,3,"朝阳门","zhym","zhao yang men","110101007000","朝阳门街道办事处"
110101008,110101,3,"建国门","jigm","jian guo men","110101008000","建国门街道办事处"
110101009,110101,3,"东直门","dozm","dong zhi men","110101009000","东直门街道办事处"
110101010,110101,3,"和平里","hepl","he ping li","110101010000","和平里街道办事处"
110101011,110101,3,"前门","qim","qian men","110101011000","前门街道办事处"
110101012,110101,3,"崇文门外","chwm","chong wen men wai","110101012000","崇文门外街道办事处"
110101013,110101,3,"东花市","dohs","dong hua shi","110101013000","东花市街道办事处"
110101014,110101,3,"龙潭","lot","long tan","110101014000","龙潭街道办事处"
110101015,110101,3,"体育馆路","tiyg","ti yu guan lu","110101015000","体育馆路街道办事处"
110101016,110101,3,"天坛","tit","tian tan","110101016000","天坛街道办事处"
110101017,110101,3,"永定门外","yodm","yong ding men wai","110101017000","永定门外街道办事处"
110102,1101,2,"西城","xic","xi cheng","110102000000","西城区"
110102001,110102,3,"西长安街","xica","xi chang an jie","110102001000","西长安街街道办事处"
110102003,110102,3,"新街口","xijk","xin jie kou","110102003000","新街口街道办事处"
110102007,110102,3,"月坛","yut","yue tan","110102007000","月坛街道办事处"
110102009,110102,3,"展览路","zhll","zhan lan lu","110102009000","展览路街道办事处"
110102010,110102,3,"德胜","des","de sheng","110102010000","德胜街道办事处"
