id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
710442,7104,2,"大雅","d","da ya","710442000000","大雅区"
710443,7104,2,"神冈","s","shen gang","710443000000","神冈区"
710444,7104,2,"大肚","d","da du","710444000000","大肚区"
710445,7104,2,"沙鹿","s","sha lu","710445000000","沙鹿区"
710446,7104,2,"龙井","l","long jing","710446000000","龙井区"
710447,7104,2,"梧栖","w","wu qi","710447000000","梧栖区"
710448,7104,2,"清水","q","qing shui","710448000000","清水区"
710449,7104,2,"大甲","d","da jia","710449000000","大甲区"
710450,7104,2,"外埔","w","wai bu","710450000000","外埔区"
710451,7104,2,"大安","d","da an","710451000000","大安区"
7106,71,1,"南投","n","nan tou","710600000000","南投县"
710614,7106,2,"南投市","n","nan tou shi","710614000000","南投市"
710615,7106,2,"中寮","z","zhong liao","710615000000","中寮乡"
710616,7106,2,"草屯","c","cao tun","710616000000","草屯镇"
710617,7106,2,"国姓","g","guo xing","710617000000","国姓乡"
710618,7106,2,"埔里","b","bu li","710618000000","埔里镇"
710619,7106,2,"仁爱","r","ren ai","710619000000","仁爱乡"
710620,7106,2,"名间","m","ming jian","710620000000","名间乡"
710621,7106,2,"集集","j","ji ji","710621000000","集集镇"
710622,7106,2,"水里","s","shui li","710622000000","水里乡"
710623,7106,2,"鱼池","y","yu chi","710623000000","鱼池乡"
710624,7106,2,"信义","x","xin yi","710624000000","信义乡"
710625,7106,2,"竹山","z","zhu shan","710625000000","竹山镇"
710626,7106,2,"鹿谷","l","lu gu","710626000000","鹿谷乡"
7107,71,1,"基隆","j","ji long","710700000000","基隆市"
710701,7107,2,"仁爱","r","ren ai","710701000000","仁爱区"
710702,7107,2,"信义","x","xin yi","710702000000","信义区"
710703,7107,2,"中正","z","zhong zheng","710703000000","中正区"
710704,7107,2,"中山","z","zhong shan","710704000000","中山区"
710705,7107,2,"安乐","a","an le","710705000000","安乐区"
710706,7107,2,"暖暖","n","nuan nuan","710706000000","暖暖区"
710707,7107,2,"七堵","q","qi du","710707000000","七堵区"
7108,71,1,"新竹市","x","xin zhu shi","710800000000","新竹市"
710801,7108,2,"东区","d","dong qu","710801000000","东区"
710802,7108,2,"北区","b","bei qu","710802000000","北区"
710803,7108,2,"香山","x","xiang shan","710803000000","香山区"
7109,71,1,"嘉义市","j","jia yi shi","710900000000","嘉义市"
710901,7109,2,"东区","d","dong qu","710901000000","东区"
710902,7109,2,"西区","x","xi qu","710902000000","西区"
7111,71,1,"新北","x","xin bei","711100000000","新北市"
711130,7111,2,"万里","w","wan li","711130000000","万里区"
711131,7111,2,"金山","j","jin shan","711131000000","金山区"
711132,7111,2,"板桥","b","ban qiao","711132000000","板桥区"
711133,7111,2,"汐止","x","xi zhi","711133000000","汐止区"
711134,7111,2,"深坑","s","shen keng","711134000000","深坑区"
711135,7111,2,"石碇","s","shi ding","711135000000","石碇区"
711136,7111,2,"瑞芳","r","rui fang","711136000000","瑞芳区"
711137,7111,2,"平溪","p","ping xi","711137000000","平溪区"
711138,7111,2,"双溪","s","shuang xi","711138000000","双溪区"
711139,7111,2,"贡寮","g","gong liao","711139000000","贡寮区"
711140,7111,2,"新店","x","xin dian","711140000000","新店区"
711141,7111,2,"坪林","p","ping lin","711141000000","坪林区"
711142,7111,2,"乌来","w","wu lai","711142000000","乌来区"
711143,7111,2,"永和","y","yong he","711143000000","永和区"
711144,7111,2,"中和","z","zhong he","711144000000","中和区"
711145,7111,2,"土城","t","tu cheng","711145000000","土城区"
711146,7111,2,"三峡","s","san xia","711146000000","三峡区"
711147,7111,2,"树林","s","shu lin","711147000000","树林区"
711148,7111,2,"莺歌","y","ying ge","711148000000","莺歌区"
711149,7111,2,"三重","s","san chong","711149000000","三重区"
711150,7111,2,"新庄","x","xin zhuang","711150000000","新庄区"
711151,7111,2,"泰山","t","tai shan","711151000000","泰山区"
711152,7111,2,"林口","l","lin kou","711152000000","林口区"
711153,7111,2,"芦洲","l","lu zhou","711153000000","芦洲区"
711154,7111,2,"五股","w","wu gu","711154000000","五股区"
711155,7111,2,"八里","b","ba li","711155000000","八里区"
711156,7111,2,"淡水","d","dan shui","711156000000","淡水区"
711157,7111,2,"三芝","s","san zhi","711157000000","三芝区"
711158,7111,2,"石门","s","shi men","711158000000","石门区"
7112,71,1,"宜兰","y","yi lan","711200000000","宜兰县"
711214,7112,2,"宜兰市","y","yi lan shi","711214000000","宜兰市"
711215,7112,2,"头城","t","tou cheng","711215000000","头城镇"
711216,7112,2,"礁溪","j","jiao xi","711216000000","礁溪乡"
711217,7112,2,"壮围","z","zhuang wei","711217000000","壮围乡"
711218,7112,2,"员山","y","yuan shan","711218000000","员山乡"
711219,7112,2,"罗东","l","luo dong","711219000000","罗东镇"
711220,7112,2,"三星","s","san xing","711220000000","三星乡"
711221,7112,2,"大同","d","da tong","711221000000","大同乡"
711222,7112,2,"五结","w","wu jie","711222000000","五结乡"
711223,7112,2,"冬山","d","dong shan","711223000000","冬山乡"
711224,7112,2,"苏澳","s","su ao","711224000000","苏澳镇"
711225,7112,2,"南澳","n","nan ao","711225000000","南澳乡"
7113,71,1,"新竹县","x","xin zhu xian","711300000000","新竹县"
711314,7113,2,"竹北","z","zhu bei","711314000000","竹北市"
711315,7113,2,"湖口","h","hu kou","711315000000","湖口乡"
711316,7113,2,"新丰","x","xin feng","711316000000","新丰乡"
711317,7113,2,"新埔","x","xin bu","711317000000","新埔镇"
711318,7113,2,"关西","g","guan xi","711318000000","关西镇"
711319,7113,2,"芎林","x","xiong lin","711319000000","芎林乡"
711320,7113,2,"宝山","b","bao shan","711320000000","宝山乡"
711321,7113,2,"竹东","z","zhu dong","711321000000","竹东镇"
711322,7113,2,"五峰","w","wu feng","711322000000","五峰乡"
711323,7113,2,"横山","h","heng shan","711323000000","横山乡"
711324,7113,2,"尖石","j","jian shi","711324000000","尖石乡"
711325,7113,2,"北埔","b","bei bu","711325000000","北埔乡"
711326,7113,2,"峨眉","e","e mei","711326000000","峨眉乡"
7114,71,1,"桃园","t","tao yuan","711400000000","桃园市"
711414,7114,2,"中坜","z","zhong li","711414000000","中坜区"
711415,7114,2,"平镇","p","ping zhen","711415000000","平镇区"
711416,7114,2,"龙潭","l","long tan","711416000000","龙潭区"
711417,7114,2,"杨梅","y","yang mei","711417000000","杨梅区"
711418,7114,2,"新屋","x","xin wu","711418000000","新屋区"
711419,7114,2,"观音","g","guan yin","711419000000","观音区"
711420,7114,2,"桃园区","t","tao yuan qu","711420000000","桃园区"
711421,7114,2,"龟山","g","gui shan","711421000000","龟山区"
711422,7114,2,"八德","b","ba de","711422000000","八德区"
711423,7114,2,"大溪","d","da xi","711423000000","大溪区"
711424,7114,2,"复兴","f","fu xing","711424000000","复兴区"
711425,7114,2,"大园","d","da yuan","711425000000","大园区"
711426,7114,2,"芦竹","l","lu zhu","711426000000","芦竹区"
7115,71,1,"苗栗","m","miao li","711500000000","苗栗县"
711519,7115,2,"竹南","z","zhu nan","711519000000","竹南镇"
711520,7115,2,"头份","t","tou fen","711520000000","头份市"
711521,7115,2,"三湾","s","san wan","711521000000","三湾乡"
711522,7115,2,"南庄","n","nan zhuang","711522000000","南庄乡"
711523,7115,2,"狮潭","s","shi tan","711523000000","狮潭乡"
711524,7115,2,"后龙","h","hou long","711524000000","后龙镇"
711525,7115,2,"通霄","t","tong xiao","711525000000","通霄镇"
711526,7115,2,"苑里","y","yuan li","711526000000","苑里镇"
711527,7115,2,"苗栗市","m","miao li shi","711527000000","苗栗市"
711528,7115,2,"造桥","z","zao qiao","711528000000","造桥乡"
711529,7115,2,"头屋","t","tou wu","711529000000","头屋乡"
711530,7115,2,"公馆","g","gong guan","711530000000","公馆乡"
711531,7115,2,"大湖","d","da hu","711531000000","大湖乡"
711532,7115,2,"泰安","t","tai an","711532000000","泰安乡"
711533,7115,2,"铜锣","t","tong luo","711533000000","铜锣乡"
711534,7115,2,"三义","s","san yi","711534000000","三义乡"
711535,7115,2,"西湖","x","xi hu","711535000000","西湖乡"
711536,7115,2,"卓兰","z","zhuo lan","711536000000","卓兰镇"
7117,71,1,"彰化","z","zhang hua","711700000000","彰化县"
711727,7117,2,"彰化市","z","zhang hua shi","711727000000","彰化市"
711728,7117,2,"芬园","f","fen yuan","711728000000","芬园乡"
711729,7117,2,"花坛","h","hua tan","711729000000","花坛乡"
711730,7117,2,"秀水","x","xiu shui","711730000000","秀水乡"
711731,7117,2,"鹿港","l","lu gang","711731000000","鹿港镇"
711732,7117,2,"福兴","f","fu xing","711732000000","福兴乡"
711733,7117,2,"线西","x","xian xi","711733000000","线西乡"
711734,7117,2,"和美","h","he mei","711734000000","和美镇"
711735,7117,2,"伸港","s","shen gang","711735000000","伸港乡"
711736,7117,2,"员林","y","yuan lin","711736000000","员林市"
711737,7117,2,"社头","s","she tou","711737000000","社头乡"
711738,7117,2,"永靖","y","yong jing","711738000000","永靖乡"
711739,7117,2,"埔心","b","bu xin","711739000000","埔心乡"
711740,7117,2,"溪湖","x","xi hu","711740000000","溪湖镇"
711741,7117,2,"大村","d","da cun","711741000000","大村乡"
711742,7117,2,"埔盐","b","bu yan","711742000000","埔盐乡"
711743,7117,2,"田中","t","tian zhong","711743000000","田中镇"
711744,7117,2,"北斗","b","bei dou","711744000000","北斗镇"
711745,7117,2,"田尾","t","tian wei","711745000000","田尾乡"
711746,7117,2,"埤头","p","pi tou","711746000000","埤头乡"
711747,7117,2,"溪州","x","xi zhou","711747000000","溪州乡"
711748,7117,2,"竹塘","z","zhu tang","711748000000","竹塘乡"
711749,7117,2,"二林","e","er lin","711749000000","二林镇"
