id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
11,0,0,"北京","b","bei jing","110000000000","北京市"
1101,11,1,"北京","b","bei jing","110100000000","北京市"
110101,1101,2,"东城","d","dong cheng","110101000000","东城区"
110101001,110101,3,"东华门","d","dong hua men","110101001000","东华门街道"
110101002,110101,3,"景山","j","jing shan","110101002000","景山街道"
110101003,110101,3,"交道口","j","jiao dao kou","110101003000","交道口街道"
110101004,110101,3,"安定门","a","an ding men","110101004000","安定门街道"
110101005,110101,3,"北新桥","b","bei xin qiao","110101005000","北新桥街道"
110101006,110101,3,"东四","d","dong si","110101006000","东四街道"
110101007,110101,3,"朝阳门","z","zhao yang men","110101007000","朝阳门街道"
110101008,110101,3,"建国门","j","jian guo men","110101008000","建国门街道"
110101009,110101,3,"东直门","d","dong zhi men","110101009000","东直门街道"
110101010,110101,3,"和平里","h","he ping li","110101010000","和平里街道"
110101011,110101,3,"前门","q","qian men","110101011000","前门街道"
110101012,110101,3,"崇文门外","c","chong wen men wai","110101012000","崇文门外街道"
110101013,110101,3,"东花市","d","dong hua shi","110101013000","东花市街道"
110101014,110101,3,"龙潭","l","long tan","110101014000","龙潭街道"
110101015,110101,3,"体育馆路","t","ti yu guan lu","110101015000","体育馆路街道"
110101016,110101,3,"天坛","t","tian tan","110101016000","天坛街道"
110101017,110101,3,"永定门外","y","yong ding men wai","110101017000","永定门外街道"
110102,1101,2,"西城","x","xi cheng","110102000000","西城区"
110102001,110102,3,"西长安街","x","xi chang an jie","110102001000","西长安街街道"
110102003,110102,3,"新街口","x","xin jie kou","110102003000","新街口街道"
110102007,110102,3,"月坛","y","yue tan","110102007000","月坛街道"
110102009,110102,3,"展览路","z","zhan lan lu","110102009000","展览路街道"
110102010,110102,3,"德胜","d","de sheng","110102010000","德胜街道"
110102011,110102,3,"金融街","j","jin rong jie","110102011000","金融街街道"
110102012,110102,3,"什刹海","s","shen cha hai","110102012000","什刹海街道"
110102013,110102,3,"大栅栏","d","da zha lan","110102013000","大栅栏街道"
110102014,110102,3,"天桥","t","tian qiao","110102014000","天桥街道"
110102015,110102,3,"椿树","c","chun shu","110102015000","椿树街道"
110102016,110102,3,"陶然亭","t","tao ran ting","110102016000","陶然亭街道"
110102017,110102,3,"广安门内","g","guang an men nei","110102017000","广安门内街道"
110102018,110102,3,"牛街","n","niu jie","110102018000","牛街街道"
110102019,110102,3,"白纸坊","b","bai zhi fang","110102019000","白纸坊街道"
110102020,110102,3,"广安门外","g","guang an men wai","110102020000","广安门外街道"
110105,1101,2,"朝阳","c","chao yang","110105000000","朝阳区"
110105001,110105,3,"建外","j","jian wai","110105001000","建外街道"
110105002,110105,3,"朝外","c","chao wai","110105002000","朝外街道"
110105003,110105,3,"呼家楼","h","hu jia lou","110105003000","呼家楼街道"
